id,Inlock,cct_primera_opcion,nombre_primera_opcion,turno_primera_opcion,CCT_PROCED,nombre_procedencia,Coord_x_primera_opcion,Coord_y_primera_opcion,Coord_x_procedencia,Coord_y_procedencia
55,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09DPR1542P,MOCTEZUMA ILHUICAMINA,-99.0809,19.4505,-99.0747,19.45
56,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09DPR3101G,LIC. ALFREDO V. BONFIL PINTO,-99.0809,19.4505,-99.0785,19.4974
57,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09DPR1420E,JUAN RUIZ DE ALARCON,-99.0809,19.4505,-99.0886,19.4619
58,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09DPR1452X,TURQUIA,-99.0809,19.4505,-99.0961,19.4562
59,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09DPR1087Q,HÉROES DE ZACAPOAXTLA,-99.0809,19.4505,-99.0977,19.4317
60,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09DPR1420E,JUAN RUIZ DE ALARCON,-99.0809,19.4505,-99.0886,19.4619
61,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09PPR0083S,JARDIN DE GUERRERO,-99.0809,19.4505,-99.10833,19.416437
62,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09DPR1452X,TURQUIA,-99.0809,19.4505,-99.0961,19.4562
63,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09DPR2195E,FORJADORES DE LA CULTURA,-99.0809,19.4505,-99.087,19.4575
64,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09DPR1361F,ANA MARIA BERLANGA,-99.0809,19.4505,-99.0947,19.4601
65,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09DPR2193G,EMPERADOR CUAUHTÉMOC,-99.0809,19.4505,-99.058,19.4479
66,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09DPR2193G,EMPERADOR CUAUHTÉMOC,-99.0809,19.4505,-99.058,19.4479
67,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09DPR2193G,EMPERADOR CUAUHTÉMOC,-99.0809,19.4505,-99.058,19.4479
68,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09DPR3219E,BELICE,-99.0809,19.4505,-99.0877,19.5031
69,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09PPR0788G,PALAS ATENEA,-99.0809,19.4505,-99.082633,19.457874
70,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09PPR0139D,COLEGIO AZCAPOTZALCO,-99.0809,19.4505,-99.184652,19.485098
71,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09DPR1490Z,PROFR. EFREN VALENZUELA,-99.0809,19.4505,-99.0914,19.4543
72,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09PPR1828Y,COLEGIO J M LONDRES,-99.0809,19.4505,-99.098095,19.445652
73,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09DPR1490Z,PROFR. EFREN VALENZUELA,-99.0809,19.4505,-99.0914,19.4543
74,3,09DES0085E,REPÚBLICA DE FRANCIA,100,09PPR1915T,INSTITUTO ENRIQUETA CASTELLTORT,-99.0809,19.4505,-99.112612,19.479699
75,3,09DES0107Z,XOCHIMILCO,100,09DPR3052O,CUAHILAMA,-99.105,19.2573,-99.0746,19.246
76,3,09DES0107Z,XOCHIMILCO,100,09DPR1998N,QUILAZTLI,-99.105,19.2573,-99.1053,19.2566
77,3,09DES0107Z,XOCHIMILCO,100,09DPR0011U,PROFR. CARITINO MALDONADO PÉREZ,-99.105,19.2573,-99.106,19.2462
78,3,09DES0107Z,XOCHIMILCO,100,09DPR3193N,PROFR. CARITINO MALDONADO PÉREZ,-99.105,19.2573,-99.106,19.2462
79,3,09DES0107Z,XOCHIMILCO,100,09DPR3193N,PROFR. CARITINO MALDONADO PÉREZ,-99.105,19.2573,-99.106,19.2462
80,3,09DES0107Z,XOCHIMILCO,100,09PPR1189S,COLEGIO ALFREDO NOBEL,-99.105,19.2573,-99.1057,19.25219
81,3,09DES0107Z,XOCHIMILCO,100,09DPR2068I,ITZCOATL,-99.105,19.2573,-99.0959,19.24
82,3,09DES0107Z,XOCHIMILCO,100,09DPR2051I,QUIRINO MENDOZA Y CORTES,-99.105,19.2573,-99.1067,19.2568
83,3,09DES0107Z,XOCHIMILCO,100,09DPR5128A,DANIEL RAMIREZ PÉREZ,-99.105,19.2573,-99.1215,19.2188
84,3,09DES0107Z,XOCHIMILCO,100,09DPR2026J,CRISTÓBAL COLÓN,-99.105,19.2573,-99.1237,19.2481
85,3,09DES0107Z,XOCHIMILCO,100,09DPR5079I,MARCELIANO TREJO SANTANA,-99.105,19.2573,-99.1194,19.2816
86,3,09DES0107Z,XOCHIMILCO,100,09DPR2952Z,PINTOR DIEGO RIVERA,-99.105,19.2573,-99.08,19.1924
87,3,09DES0107Z,XOCHIMILCO,100,09DPR2034S,MAESTRO ADOLFO VALLES,-99.105,19.2573,-99.1079,19.2268
